exercicio,conta,PREVISÃO ATUALIZADA (a),No Bimestre (b)
2021,DESPESAS DE CAPITAL,,
2021,Demais Despesas Correntes,,
2021,Demais Receitas Correntes,196890998.0,44159682.11
2021,Demais Receitas Patrimoniais,5692.0,29794.1
2021,Demais Receitas de Capital,,
2021,Exploração do Patrimônio Imobiliário do Estado,650800.0,110368.98
2021,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",3540748337.99,902130396.52
2021,INVERSÕES FINANCEIRAS,,
2021,INVESTIMENTOS,,
2021,Impostos,3391928964.99,872806962.2
2021,"Indenizações, Restituições e Ressarcimentos",17412770.59,10945645.54
2021,JUROS E ENCARGOS DA DÍVIDA,,
2021,"Multas Administrativas, Contratuais e Judiciais",35650261.46,16424799.98
2021,OPERAÇÕES DE CRÉDITO,1001000.0,253121.74
2021,OUTRAS DESPESAS CORRENTES,,
2021,OUTRAS RECEITAS CORRENTES,249955089.17,71530127.63
2021,OUTRAS RECEITAS DE CAPITAL,,
2021,Operações de Crédito - Mercado Interno,1001000.0,253121.74
2021,Outros Serviços,3646104.0,153801.04
2021,PESSOAL E ENCARGOS SOCIAIS,,
2021,RECEITA DE SERVIÇOS,277764593.0,54936994.86
2021,RECEITA PATRIMONIAL,209355560.84,149658398.89
2021,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),9035216829.35,2287474173.34
2021,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),654274812.0,252208327.5
2021,RECEITAS CORRENTES,9175480258.1,2356020624.8100004
2021,RECEITAS DE CAPITAL,186873977.25,57557712.28
2021,RESERVA DE CONTINGÊNCIA,,
2021,RESERVA DO RPPS,,
2021,SALDOS DE EXERCÍCIOS ANTERIORES,2061272550.8,
2021,SUBTOTAL DAS DESPESAS (X) = (VIII + IX),,
2021,SUBTOTAL DAS RECEITAS (III) = (I + II),9362354235.35,2413578337.09
2021,SUPERÁVIT (XIII),,
2021,Serviços Administrativos e Comerciais Gerais,274118489.0,54709510.8
2021,Serviços e Atividades Financeiras,,
2021,Serviços e Atividades Referentes à Navegação e ao Transporte,,73683.02
2021,Superávit Financeiro Utilizado para Créditos Adicionais,2061272550.8,
2021,TOTAL COM DÉFICIT (VII) = (V + VI),9362354235.35,2413578337.09
2021,TOTAL COM SUPERÁVIT (XIV) = (XII + XIII),,
